Countries,Channels,Subscribers
c
Åland Islands,"[BlackSmoke Billy, Mystic Media, Daily Monkey, ♠Добромаг♠, thatsideofu2b]","[78.8K, 63.2K, 33.6K, 31.7K, 24.8K]"
Albania,"[Top Chnnel Albania, RTV KLAN, 女将扛枪, Vine Zone, Dream Vine]","[3.15M, 2.18M, 1.11M, 1.06M, 1M]"
Algeria,"[Oum Walid, EnnaharTv, Didine Canon 16, EchoroukTV, حلويات إقتصادية و راقية]","[14M, 10.9M, 7.45M, 7.27M, 6.93M]"
Samoa,"[DODO-G, মায়াঘেরা জগৎ, Hayaan Video Pro, CHASERKID, Hailey James family cuộc sống Mỹ]","[1.05M, 197K, 188K, 165K, 160K]"
Andorra,"[Boutchoo!, Geminis tv, Наша Планета, Julia Cates, Borjatube]","[717K, 287K, 68.3K, 57.8K, 57.7K]"
Angola,"[C4 Pedro, Anna Joyce, holdmyhandtv, NOSSA TV ZIMBO, películas completas]","[580K, 245K, 115K, 85.1K, 68.9K]"
Anguilla,"[MOLI, Dr.Aksingh Health Consultant, Dreamy Nights, MZXI, Mimounlokman]","[1.04M, 522K, 480K, 438K, 419K]"
Antigua And Barbuda,"[Windies Cricket, KurenoDash, Parapligikos1968, Mike Loupnikis, FuegoContoTv]","[4.34M, 177K, 128K, 78.8K 31.1K]"
Argentina,"[Alejo Igoa, El Reino Infantil, La Granja de Zenón, TheDonato, Ian Lucas]","[94.8M, 70.5M, 44.9M, 42.8M, 37.4M]"
Armenia,"[Kids Tv Armenian - մանկական երգեր, Street Stars, Bidza, մանկական երգեր | Армянские детские песни, Luskamralus]","354K, 182K, 150K, 132K, 125K]"
Aruba ,"[Rani Vlog RBL, قناة الذاكرين, MYANMAR Y Y T, يوسف البري Youssef Al-Berry, xtr]","[939K, 381K, 312K, 273K, 162K]"
Australia,"[Bounce Patrol - Kids Songs, Double Date, How Ridiculous, LazarBeam, Jasmin and James]","[33.7M, 25.3M, 23.9M, 23.2M, 19.4M]"
Austria,"[Red Bull, Austrian, Fabio Wibmer, Talin tube family - عائلة تالين تيوب, Red Bull Batalla]","[26.1M, 13.4M, 8.01M, 7.51M, 7.26M]"
Bahamas,"[EthioVEVO1 Ethiopia Official, Quality Lyric Channel - Killing the Competition (Bahamas), Sivananda Ashram Yoga Retreat Bahamas, Sherwin Gardner, HH Universe]","[103K, 98.8K, 53.5K, 52.4K, 33.6K]"
Bahrain,"[ عمر فاروق Omar Farooq, احمد شريف Ahmed Sharif, DvLZStaTioN, أباذر الحلواجي Abather Alhalwachi l, Haman]","[8.04M, 3.63M, 3.62M, 3.58M, 3.45M]"
Bangladesh,"[Jamuna TV, Tonni art and craft, Channel 24, Anupam Movie Songs, Farjana Drawing Academy]","[29.3M, 19.2M, 15.9M, 15.6M, 15.5M]"
Barbados,"[Palaceo Possum, PMOBarbados, bajanmusicfan, DiscipleDJ, GhostlyPhantazy]","[57.7K, 40.4K, 38.9K, 36.3K, 35.5K]"
Belarus,"[ГЛЕНТ, Дим Димыч, Lesha Maisak, TicTac, Врискас]","[24.1M, 7.17M, 7.15M, 7.08M, 6.93M]"
Belgium,"[Celine Dept, Celine & Michiel, Bahauddin Dije, Jeanfils, Maureen Naudts MakeUpArtist]","[52.8M, 13.8M, 10.9M, 5.5M, 4.03M]"
